puzzle,difficulty
730480951510673082804950673900267148481395267672040395068014739390006504045709020,easy
149075362230491875580362491750280039903507286628139547471658023865023714392714658,easy
569804273104027596237659148645780329392465817871032604953146702416278930728093461,easy
027803506130006792405092013016204379540079001090600204084900037059130060000460900,easy
310704098457800316298610450180400902972081060004209080021030709630947021749008605,easy
315607842802531076900204005687423091234059600591068204720040069169872403450016020,easy
967350018520841967408796523004963000085417600639528174056284791791605042840170300,easy
001480050905107300000529716470030009000600407100800023050708234010042695040906000,easy
304981020891265470625700198016523847250470610700190302409012735037849261160357984,easy
050000801069183000003000602807090016592631470030847925008400100910070054020906083,easy
930018604000002900600003087008200513510870002490051068800005001371684059050100040,easy
350014968107069032698035417204900085019580004865423179583040790976000040021600850,easy
932500470560487932478003501806274190093065247207130050610708324320091780785342009,easy
685247019274913056931658742819765403750324198342891067467132985123589674590000231,easy
000015800053020400290067015300080741869041500010002980940170008502090173701208094,easy
651483279830279165092165483018794652947652831026831794275306948063948527489027306,easy
497100350635700812281500004503060081148320697009041235874010069010659000000070100,easy
968417325025098047147200960201863479683740250479521683514382796832970514790154832,easy
020007810047800029810020007400070200108205096035006108001082900380900761004700000,easy
915600472836724159047591368169837520378245690402916783681372945090168030723009816,easy
200000605600003004840165200080500732905302008023010056510639027472850060096247500,easy
040000317003245000069301204380412605956083020214059730400520809620890043700004500,easy
000162304703009621216430895062371948137894056409620713000043002825716409304208000,easy
021950300400820000057060002030608920610270453209004000090700608005000219380102000,easy
356498107094271065102650849417032698089714253005986071568149702723860914041327586,easy
000589074000007013407031500100490360736815000040370851003168005594003080618004702,easy
954603027721459683306027050569308002047005318813702065605801290402506871178294530,easy
703040050502030410004026370940612500621000004805904102006480001000291030009360847,easy
200851709518009046793426581450187092020645007871902465685703924942508170137294658,easy
590428063063159000204000001009005320006000408458032109930001642002003800010064030,easy
390082405218600793564003812085400270640729581972850340009217600056394100720568900,easy
935700412876010093104395687308071925259008074741509036583167249617942358402853761,easy
150893672893726415726150389382605901675419238419302567561948723030561894948237156,easy
920836175386715924175094386753421860869573040241089753017062538538107692692358407,easy
281479653065281790479365812852714936693852147714093028940538270530127469127946380,easy
004907305850461000209085000000038740407592138380746000136204009700800000508010274,easy
200000401004029380000470509076000908009637100400900637000064015007215803002893060,easy
795410862826075130143280759457321986968547213230698475612859347374162598080034620,easy
926103748874062351130047269358094012261005407749216583507429136092600875613578924,easy
038264050700803602000175000203417005090006000070089263580930400300600087016750309,easy
035100000680902540200534168060309850008061092903005016050207439702093685094650001,easy
000407859800362007400809362109528603580670104030190000004081235003040901910235746,easy
054621309079548100162703854200179430907054286005860900701005648048217590503006721,easy
500963471693147528410802630760428095309671084208030006874205003136784902920310000,easy
000706500067953402500842006200400309090508640674009200002600830003204901910085704,easy
318245697760183245524697183695801430087432956243956801430529768052768314070314529,easy
080716245017502380045983610924837561008065920061420730802071056103650802456200170,easy
306028159070109460000063700080900045200305870530006912468207031153604297700500684,easy
406810257002496300813570640904100506765934812128060490607380125389001760001607938,easy
891723560327064198400198023210406059950310476674859312509280637182007945736945281,easy
000400263087600100600000807000200000100840506050190300000509000502704638001000902,medium
000705004008006290060000000000008050000500069541603007805069032096327080370000000,medium
350000800801003000762400009000300000076040105005709080000030590010970020000006010,medium
806001000750060030109000000402130900600700402070020000060000048040002300007485060,medium
702400509130000600009006000500060030300054000008000400900608000400590800000047090,medium
003097650600040090708050100000000210800510000000000060020105007400020031031084920,medium
000020000000000200000160089325010074040300100060780000400008365000000008207000040,medium
804001056301596004050200370708100009003620000060078010490000030005900000007000002,medium
800016000390000020000073004000024009082000730060357080008002010913700246040030570,medium
640007350000009002030642000070000205000406008008000740900000000203780091000900003,medium
072049000409010000000730040003070860090000203601003900000196305805400000010305020,medium
002000000004002900539104276000020009007043000060507000005008090008076003090000021,medium
760050002020000405904020070208706003600900020500000004000000049172600000000080000,medium
803009000627003004009000300000030005030508400008170000000082040000940100940001003,medium
130604500602975300000003006000000800001468290006000700000709040703840002010006907,medium
009830005080000600000000070090006500632000001057910000008000030904063150076085090,medium
000200837204000000700000040000000200000412060000300080000870000807000306145603900,medium
963500870004000250000000693030800409810649320000030000476090008302050000050400000,medium
500700491019005007078100020900670014841000006060008905300000009195000000700001060,medium
000205608000000000902600400007004000821006954040080000400809301208000040600007029,medium
070000000000070005000000000500060000084700600960480057400820510020050906003090070,medium
800007001300000002540090030700050000000030019050000374000620005620400000000910263,medium
000790050000000017700240008021650000003000000005900004002300701107000800390070260,medium
000600900000000001000201675001000320005320107003007094008009430204000009000000816,medium
000032491000650800000491607000000080025043709070080000050008970130074000704506000,medium
003701850000000070000000309907050003034076500080040000601824000079010084800007065,medium
000400390003050204002803051020300000460287003009600080000738000000000000000000030,medium
080104000000705809270000006000000270560230904020908615830000567000076000750000401,medium
942370006000200830870000020000090000084000009590080371408150002750000080000800000,medium
000006079640002050009058000500600700030200598702090406007000080000403000080001000,medium
302091000907080002006235007020307009070000000060802000090428000080070600700109000,medium
150002006000900000003000824601000490000029600000031580704006001000005040005080260,medium
805160400010000580030000200400000000000907050500623040700006930056000000300000005,medium
500090206009260800000040030652380000000019000001006040000400003803070005045008607,medium
510074000002000000000651024000103240000000007004000600000080039820309400190500072,medium
901003004700001023003084091000500400002007300000840007405000000000096040000005000,medium
100090000005108000003000020030950107900701402080030650500800900000010048002309015,medium
678020000000876005300004670000001000000905100100030540006380000054609000083052900,medium
120000000480010006639805021201036400300080002004001050000000345000050010003070009,medium
601005030820009001009400005400008003208003046710006000084302000000000000007850000,medium
040500300010706200000920015800007690000009458000040000130602004400000000020000501,medium
000000006400030002901540070090010000000800000500279060053907000000001000210300807,medium
439080000526000001780520349000000600010860000005204030903100060040000018158002700,medium
000005000064080705000010083329000040500040000006030150008092401041000590000070060,medium
000019007600540300000070024064003009001000450090065030000080010000900648086001900,medium
700046008009371400005000730000604300000000507300057900102700009050400000804000605,medium
050006319000250000040030020620000105700004800000705200500070038000000900000091040,medium
900028001032701649000040300000030100007902000080004000708000293000093007000580016,medium
000000200000000036900002005070805600500000047602740500020450869740000000000213750,medium
007030680035000002400007000001084700980300010002600049000003000003800400016000035,medium
070000010509040003006001000190000000800000020000006300050064000000003050008125706,hard
800000092163920000000000600480031070000000000000000060008164000002000006000050900,hard
000063002200000000600020008300000000500004000000600000070000001050000009930000000,hard
000905020000004081000007009008003100406070000700050000005002007100000630080500200,hard
090000020000090006600000010080007100000400000900000004000000001204000050009800040,hard
086004003000000050050000600010000300090000460000900210000000000100000000047000000,hard
000050940006700008510004307092000000650000000800000090060010400005020070100000200,hard
000039000000401000000506090000300608000000007560002000000000000000158000800020000,hard
030907000000605030000400007000048090000700040000090000000300200000000804200004079,hard
000495003400300708000800054000000030005000080000000000020637805008040006000509000,hard
000000000403900201600034000300000000080000000100003800700009000008562100000047000,hard
000000008000080907038000006000030000000000000700400080060000090082700600005000000,hard
008000000006009180000010060900030000000900070000000050100000000000092000090100040,hard
000040910040000006010000000000000400000000000000160570000005004000000000506090001,hard
000083000410000030000010250000000000800001000104500003908106000000040000051007000,hard
000100603000057000098002000000010800000003700000800200004001060020000018000000000,hard
040020800000500027000800000000000300000000090057200108405060000000000060000002000,hard
057004003000000000000360007380000200000510000100000070000600100000090700000040000,hard
040000000000080000060000512300000005701000403080000000009700850000000000000518900,hard
700800030008030100000100000206703015010080003000000080860500040905000300000060500,hard
000500100000080005050730200008100000703040050010000040000027090000300700087690010,hard
010300000340007006070000040000000001000100004100460000030500060000003100021000008,hard
000170803070000000000000907009800000000000305010000000400021009590004060100000000,hard
000090620150040000024000000006000000000000043000000006962000000005020037400050000,hard
400000007000000001000058004070084002013500009000001060000600000600009040800002000,hard
207008000040009170000017080000002050400000001300000000820000000000020000050061000,hard
060000000000000000800009050700180009010006000000207040004000800007040500206001000,hard
000040080010280059000650740100002006000006000000007000200060070059020300080905000,hard
983000010641008000000004000006003400400000003009000000300009100000100086070000209,hard
000009030200003160537100000020000410400000056700001020071000000005007900040000600,hard
400900000000001050000000000000000070008100043600030000890400200002089000000003000,hard
836490000000000400005200300000000000000700603060540700004002800002000047080900120,hard
000085100000007004917000000009003400073000500008000000796042800030801070000000002,hard
000000000000005000002030800000000100300000000009003608000870401007200500004056000,hard
900000003003000450040000800000500080000008000802004705020400000350020000790053000,hard
703000080009000060000000003200000000000000000000010900070061000000200705902000000,hard
000000050502007000000920608200590800000030000050700301000050704300200500000000102,hard
007000950000050000000000080041260500005000802260900000000096000006000400003020008,hard
106800030000000000300000040000482060048006000030009000000900000000000000000040000,hard
009000004000030060040800000704000006900200000000690400800052007500040001003000200,hard
623009000000000800090000000006000010000491000900600000005200000000000000009006300,hard
002000007408006010000100900080000000003900000000600703000090470040000180800064000,hard
000000420040000000000000807050000700076100092000070000718000004360810200500000100,hard
000050010040020090900104000010503400004200050006809720000000000000010302600000008,hard
100400000000276100020090040000000201290005000000900008060000905000600710000050000,hard
000000000000000000980000010206103508000050206000000000140980003000000859000000100,hard
000700090392000000076000001000085000000000000000000000000008207040307100000000000,hard
020500140001000090000700000760320400030150000504600900007060004040000009000000000,hard
270000001000010000050000308003001000020008100005000800090006000500000600300000900,hard
070100406000240007000500000590010200040000089007009060000000600603005000004060005,hard
238000649600820751710469003060987537073140802820327406984005074140098325350710900,invalid
800975040500403880046108500000601020008000070920704160031092700029047630704316280,invalid
701080420000620010602070003834096054260100308175813002013408279947530060406070000,invalid
000000000000002030020007000004013200000400100000000000002704304560000304047100809,invalid
300480000049020600070100004504007100680004060037806052002913045063008056458092300,invalid
207097480083310097697400115900030104080100002000002000721060548360508921548720009,invalid
410000090009084670610093584070000158085060409000058307003870715750933840824015006,invalid
000000000009000008085309040706800000000115003000000800900400080000030000008950000,invalid
057004982641298357902735641513642809479051020400907510738516294165409738094073165,invalid
900801005168035009530744862079184526025003180401006970290407050704650092806302000,invalid
069008000000060940270090081093000200400800000700400008001040000530000000020000000,invalid
910620750370100602268735149026307110030951264001246378613570021759412036002803597,invalid
100060500900071000600059000070000000050000040000000630000007486800005040013048000,invalid
900000010200068606700205009019950000028009001100382060012093475030504028000000000,invalid
300008010491243008000916503189620430004801265009307981200000879400789612978160350,invalid
030004050508067090001400060000020900316040537400735627001900405000004300700610209,invalid
600070000085069174700578260403602703020791300907305382500907010000410850190000927,invalid
000200740000001050000800300005000908001008060000000104608020000000000800093000000,invalid
457098003020405080009302054804000070603009600000501008008003049900086037702950061,invalid
375284609284961753961305842649713520852049136713802096538426971126197085007530264,invalid
000024000608500000907000000800030600000000510004010030006200000080060800080090000,invalid
325146789987263416614879523149738652873562901256490378561984237732615804498327165,invalid
000003200090007000070030900007520000560004800008306700000000000000430090000000000,invalid
251046730604309050000010486546790010302465008800123049023600894408230060165904327,invalid
947163258805009612361528470603812594818954036459376102132480967584697321700039045,invalid
000970003000000000400070501080600060005000002009030000064700000000020000000600007,invalid
000807000009435086000901500092374007106050000040008905800006259405003000000042300,invalid
075864302010579428460213970840632091091048277236165040789450150624350789153007624,invalid
179005306085230719236109140391754682750862931862391574613947058940500163508693497,invalid
010080000900000005080000000909200103070000000400000009000006030008000000800037000,invalid
000100600682700000900000650800000705200007090738002200503900000009600500000300020,invalid
160000087052000100080006054105000674004000001070005040027609405000010028010027936,invalid
940103082137080060050064371002300720060077824501408603700800240010045900024730058,invalid
840209575900380006602157340387026051260010700009708062910070804035846609420001507,invalid
180406007000100004000090800000000000000900000070661000300079000899005000051648000,invalid
200007001091005000608001463504073019022000783803129604409007590002000007007902840,invalid
560100000070003900309002060007040000006000004000500009005030000080920006000956000,invalid
074138065006479418831005749697304521052796834483251976369847153315960487748513692,invalid
200690000900070000704021009000060000002000000340507000800086001000006500000200600,invalid
132925740020000300000500690001800000000090480208050900900064100517009620002000000,invalid
800400162504526000001370293389005000150012983127930654000200010708093206600000539,invalid
120090000300050004000000008000037100091860008203010000010700053760583001508020016,invalid
485912746736485912912736085859127364127364859364559127205648591591273648648541273,invalid
847695320310974695659321870931288750765910908284756913128067539476539182803182461,invalid
100000002056902340070340000768204030100064104400105007680000003020006000000403000,invalid
050004000010008050098071000000000040001000009060000231010980000000732016702146800,invalid
025018600083906209400000803804760300650020000000409062076008008000007000502800000,invalid
000091003005700400140050000090007804053010000460001030000000000000000070060340000,invalid
253074899981050704476089532097823456605791083728546971562407398839205007714038625,invalid
005123068103568709570040123412606274906374812300812006081005207237681495495207001,invalid
